df69b432145cf003be7cce77cafd4d22	Phong cảnh
581300	Nguyễn Văn Hầu
523796	1787
3139492	Câu Ngô
32cfde7a831ef096238c04587949e737	Triết học về không và thời gian
228744	Vĩnh Phúc, Quế Lâm
57541	Xiêm La
ec439d76606ef77ab9d41b1c150bccad	Bang liên Peru-Bolivian
2384978	Lagerstroemia fordii
52068	Algerie
214074	Chung Lâu
48389	Pháp lý
466922	Karl Ziegler
6300	Chất hoạt động bề mặt
23317	Đảo Anh
1618251	Bạo lực tình dục
1e16136b9c8181a847b3977861680031	22 Tháng 9
e04e9253eb8c5d6cc26c3e20ede93de8	Bang của Đế quốc Đức
757c61748b3a4406bbf6be16d0b3d890	Nhà thờ Giáo hội Acheiropoietos
18266	Lịch thiên văn
897530f22c5738c390484b3892017d98	Núi Namcha Barwa
d50dbc70f0365f95f234da804b168528	Cuộc bao vây Thành Quy Nhơn
52065	Lima
2417531	Bán hàng
1716916	Người hướng dẫn luận án tiến sĩ
529261	1644
3394525	Chloric acid
821057	Cuộc vây hãm Olmütz
3447	Tháng 3
331975d372eb311741e5818567cfab6e	Dấu phần trăm
292ce23697b3905b4cf8e8b29700d5a6	Lâm Thế Vinh
186484	Adjara
34147	The Beatles
2416474	Bảng chữ cái tiếng Anh
77f474a08d9ab0d669528567d179132f	Abstract and concrete
16145	Giải phẫu
2a3a25f490685baed9326341f33c3761	Bức xạ khuếch tán
46f4454ea55a5b9785f87d0c48d11230	Ofira
1429943	Bãi Hải Sâm
34177b5488e466c55e5746b452f4b0e2	Double Indemnity (phim)
38776	Iceland
323377	Cáo
3638352	Cát Thành
63412e8d2f847f308d1f27208a20b355	Bắc Nam Mỹ
71588	Belfort
499966	Bethlehem, Pennsylvania
c1f7f063f94fff8b2b7d744e4003aa75	Chiến dịch Falconer
6c31c98dd342c686ef39cda0c09f2426	Lâm Hoài
64538	Hạ viện Hoa Kỳ
252704	Aerogal
b6feade3ff3f500a117a35396c1e9a99	Carl Michael Bellman
835914d2fbbea15df5f31b56505ebf6f	West Java
818902	Beatrix của Hà Lan
5ba55068bb13206b83023f2fdbf69506	La Pampa (tỉnh Argentina)
110928	Bóng đá tại Đại hội Thể thao Đông Nam Á 1979
196764	Cao nguyên
426c8ebf21aeeea263bd1714dbb5b2e6	Butterfly and Sword
118901	Tòa án
474549	Chiến dịch Barvenkovo-Lozovaya
50f6038793adad38564238552e57e6ad	André Dacier
5d929963c059a691630a766df92c21f0	Số Motzkin
108561	Cách mạng Nga
742	Liên Hiệp Quốc
86d75c2562219d79c64a8df46120c1e3	Acciaroli
188296	Lê Chất
c61e3d6bb830bd81107fa423325dd921	Huấn luyện và phát triển
798175	Người Anh
a9da1338048db982c6d826316445d167	Internet Assigned Numbers Authority
27812	Chiến tranh Iraq
129996	Đại hội đại biểu Nhân dân toàn quốc (Trung Quốc)
540711	228
9678	Wolfgang Amadeus Mozart
1251261	Nhơn Lộc
18855	16 tháng 11
3186760	Giao hưởng số 1 (Beethoven)
528304	Đại học Uppsala
311471	Vũ Đức Sao Biển
7c27dc9bf7e043a9816cf1a2dcf42b00	Alton, Hampshire
dfcbfabe3d98490a546b35bffb305dc7	Away from Her
134826	Vang Pao
529238	1626
bf3f615780fdb2e1d01d9b00b989ec7b	Jiaozhou (region)
20333	13 tháng 6
01644c680173db829c51a77663273bd2	Cardinal number
190741	Bắc Sulawesi
fba9bb4090cacc33b669cc8440196f6a	Hội Nhà văn Đức
35390	Hy Lạp cổ đại
12486206	Scandinavia
803422	An Nông, Tịnh Biên
c0728729c46d1255ebed2358d710b38b	MeSH
f5a2f68db6f5e4972a405aa20e395b80	Chữ Hán của Singapore
914fd3a622343c9faae7b33892c64925	Hiệp định Pasarofca
56552	Ngũ Tử Tư
235266	Cổ Trượng
529301	1651
83fccabb0b6d30dcbd712f6790763f83	Admiralteysky
204710	1888
811940	Aparecida de Goiânia
3213602	Bangkok
571684	Hổ Bali
fd387b1d43c8a6617186070bb8589da4	Bóng đá tại Afghanistan
391061e9e84a42fd52d54a921ed957b0	Francisco Saracho Navarro
435893	Cầu Phú Xuân
777518	Barangay
2412669	Các Phước Lành
250826	Air Creebec
7e05f3acebf55bcb977dab63e76c860a	Chiến tranh Áo-Thổ Nhĩ Kỳ (1787-1791)
b4679ee37e9e53fcbef3902de5dfb0be	Atlanta Braves
142645	Hệ tọa độ địa lý
62674ce0220901b237c757bf98f6da2b	Viện bảo tàng Dân tộc học Hàn Quốc
3507106	Tiểu bang New York
6fed30060ee5aec3208a7d868bf781b1	Able Archer 83
529923	1258
530073	1155
3634789	Phát triển
10572645	Contrabass
f84ca641c32f2ce8bf808b24fb550bd9	Thể loại:Kiến trúc thập kỷ 1710
f6eb3beca20d8757329e0149c1942a4f	J. Silvestre
792695	Batumi
3261031	Internet Archive
3254794	Bí thư Quận ủy (Việt Nam)
681	I
999	Đà Nẵng
799826	Banteay Ampil (huyện)
131173	Công nghệ cao
64d9adf18f9017077cc6b90f5ed1c3ea	CFA franc
94551	Đông Bắc Trung Quốc
293916	Hoàng đế Hàm Phong
20676	12 tháng 12
d216a2ed9e5ad2ea58724a0b3778c1e0	Evald Ilyenkov
30982	FULRO
155d2e04470836c6556b3f16e800e38b	Eastern Christians
526173	Aurora, Colorado
491403	Bộ Lục quân Hoa Kỳ
86daab3432f7a124d428c455863b6c06	Carl Alexander von Martius
f418c6abc0757af8f18f70d8b58514b2	Hoàng Go-Sakuramachi của Nhật Bản
789263	Phương diện quân 18 (Đế quốc Nhật Bản)
1fe54167584bb8c1ba138968c9d50fd7	Betty Grable
9d1507d54d5fd840238f2782f36d7619	Thể loại:Thành lập thập kỷ 1680
4d6ee141036e7a7d3341a2ae7e102626	Cao Phước Trí
186716	Hải Thương
48592	Chỉ số phát triển con người
256376	Helena, Montana
5dd84d67176494e950e6aa9a11dcab11	Epsom, New Zealand
45074	Köln
862747	Angeles, Philippines
3298121	Khí hậu bán khô hạn
bffd70a36107ba3abc8c0217ccd2492d	Dân số đình trệ
1463561	Giant's Causeway
500760	Cassini–Huygens
400033	Ehlscheid
86806	Nguyễn Văn Siêu
470046	Bò nhà
8bd787deef7b48cbf654b1eaf154e3a8	Arancini
471178	Backgammon
d393ac1e2ef592d6c87d4290acbbd7ba	Chứng minh
2f1dd3786fe055ac85ea9ec96ec3c5e7	Aspendos
10143716	Blackburn
92750	Lý Cao Tông
6f50d792adee303bef1c8b324edf2eb2	Broomball
85813	Thám hoa
9cc5815f431e7dacca890f39d60e2824	Lucius Gellius Publicola
1244096	Giảng Võ
794550	Cộng đồng hải ngoại
570b119d38095ee4d0a946d806ca3888	Karl Philipp Fürst zu Schwarzenberg
b51e0fcd8c8e665fde118b6496a09cd4	Christoph Grienberger
540717	234
253929	Ameristar Jet Charter
105967	Hán Huệ Đế
78881	Atisô
a4c2a8f738d75b79a5265ad163aa40e0	Bonaventure des Périers
529580	1577
4906	2 tháng 4
68937	Colombo
c3be90666994e1cc3071a64017d0c4a0	Brunei FA Cup
e207c73ed1658693345c325e0a4691ac	Al Jazirah, Sudan
442088	Baruj Benacerraf
63329	Hà Nam (Trung Quốc)
4169a19d46bb6ab8d8fe3a3e897b4074	Công ty Đông Ấn Pháp
144346	Gia Khánh
20419	24 tháng 7
1358a80182f194bfb4afdbcaee0b103b	Gaur
99c00789e84277727ebcd41038492192	Babaker Shawkat B. Zebari
528960	Alexandria, Virginia
d8ac89a8fffcdbf54355a5e1ea8c5e83	A Farewell to Arms (1957 film)
1243692	Đồng Lạc, Nam Sách
1746371	Alessandro Scarlatti
107099	Bạch Hạc quyền
507607	HMS Resolution (09)
289126	Barcelonnette
103bfc33757af4a4bc6a396a884c4f50	Bán đảo Paraguaná
4070c1b33209aa15ed136f01a49fa0d0	Cơ quan Công tác Chiến thuật
513968	Phạm Đình Trọng
638a4196955b0b60e56e8395897f6e77	Bo Goldman
20427	28 tháng 7
12486302	Juliana Morell
2296351	Hoàng gia Hà Lan
2478	HIV/AIDS
437122	André Frédéric Cournand
37831	Lịch Gregorius
268529	Costacciaro
40584	Lưu Hữu Phước
53083	Thiên Tân
c867daefe472faef1bd9b84604aebe18	Anselm Kiefer
349168	Chi Mộc lan
2f1b345b6d5a11440726f8d9387fc4fb	Azerbaijan International
20517	13 tháng 9
8c698ddbb01fbdbcf858ca7e8058b980	Cultural deprivation
107933	1949
10742	Người Thái (Việt Nam)
149741	Cầu Giấy
5d99db5fe769dd6f46d84b70b7661319	Biểu ý
61314fbf6d0d63796f18ce2e802d783a	Bà chúa Tuyết (TV series)
2365667	Camellia assimilis
fb809f54b2b897bd294d39dfa6215980	Khai hoang môi trường
3591556	Bóng đá Tuvalu
22b3fd45cc1649f7caf77623c1dcfc70	Gôi Mỹ
6e362676db7a9eb29209ade038ca1469	Tổ chức trong quân đội
3432520	Trường Trung học phổ thông chuyên Lê Quý Đôn, Vũng Tàu
211326	Đông An, Mẫu Đơn Giang
5284490a67c4263c002fdea3ed8c7a6b	Tāna
66621	Chiến dịch Bagration
aaaf52275caa8c4636af45424bceab71	Coroner
120291	Selma Lagerlöf
913bb09096933bd79163aede87ddfd78	Liều sau
405431	Bộ Bưu điện Hoa Kỳ
48ffb6348482ef6e07bf449beb380f03	Antipruritic
1279653	Thập niên 100 TCN
86389aa6a4b9b7418ec564b73c98f702	Axel Oxenstierna
288101adb61798b8fb4abf5e6627b998	Sự đu đưa của Mặt Trăng
ee5a34cb55fc6fbef5139c88d89f0249	Adam Ferguson
7f7e6c341d3b6b7dc0ab6adb799625f3	Gia đình trị
151421	Dương Nhật Lễ
735f8c66f272dc33ae4137e5db9912ee	Charles Blachford Mansfield
ebe5cc580723e920fa3d3e5ea7ba9034	Chùa Hà Trung
36533	Pinyin
b8d7b4b582f439e097545929b4354a1d	Phạm Ngu
1522844	Lãng Sơn, Yên Dũng
bec605a55710185c08c1af28ba96e756	Phá Đại doanh Giang Nam lần thứ nhất
1747879	Bắc Tề Vũ Thành Đế
349c208fb108924b4cc28de52494e1d7	Chris Skinner
89586	Nỗ Nhĩ Cáp Xích
1742205	Đám tang
dad8aee3afb5413eb840687c9be0e0da	Albrecht Friedrich, Công tước Phổ
4b6bc035094e4cb2719b7b1cfc75a545	Barszcz
2261026	ISSN
7582363	East of England
60754	Butan
5ea16ccd1d1908be099d41c9bc868284	Trời
81809	Diễn Châu (phủ)
f8829aeafffdb4860de1c4f5242635ef	Arthur Hiller
aa8f47cc4ba922a89af965246f8e375c	Denis Foyatier
311070	Bad Kissingen (huyện)
5088bc15609aba0f42d97c314826e1b3	Giải Fermat
99325da1cd6ccbdf54a22e231718e6a3	Hiệu kỳ của Castilla và León
16110	Encarta
1204027	Cơ Đốc giáo
e7d0d26c95a02d364a1d7d1c12cd8ddf	Sadiya
61833	Kitô hữu
531177	713
3631451	Hạt của Anh
817a357116d8a7c6e683cd814eed76b8	Bảo tàng Malraux
75607	Lục quân Hoa Kỳ
313552	Aosta
325682	Tư đồ
d7e112c92163c7b8ebb22dc2facc64d6	Bản đệm đàn phím cho hoà tấu của tác giả khác
0bf4679716e226fcf2bde90a5f9452b7	Kang Sok-ju
12a8dad62c368976482cc935fb0d9299	Công dân La Mã
5699	Kiến trúc
460631	Anton Chekhov
387131	Biển Kara
3419134	Chú âm phù hiệu
97997	Tống Khánh Linh
2452833	Houston, Texas
2152344	Hassan Rouhani
3521091	Chính phủ Thái Lan
14bc3a3af68868471a204dffabbe5008	Trận Monterrey
eeb300a305bac271463b67674c10aeba	Española, New Mexico
6111d7ce52cfc3eff1f93255f2a69a67	Avestan alphabet
511cb52fe89197b8729ad317d95a4ed6	Chủ nghĩa tượng trưng
104162	Chiến dịch Gallipoli
323143	Nguyễn Hữu Lập
107811	1903
964faca554d25ae538af72a4a0882a1d	Ashur-Dan II
3124014	Nguyễn Phúc Phương Dung
37fcd81bdb602c8082f1042e95e801db	A History of the World in the 20th Century
270111	Capdepera
4c91121de80ab723a790a45e79ceca94	Alptigin
a71ca91a9d4e8590a7b2461b2b238abd	Chiến tranh Nine
1235977	Savang Vatthana
2655	Xentimét
a720c0ab0d810c76b209eaa2d1c14d58	Kim Lệ
1edde33441fe9f033d019d973714334d	Bama (đất)
42640	Thuốc lá
450761	Cách mạng Nga (1905)
1402378	Franc Thụy Sĩ
c35519495b98b72fd7a31a3626023bda	Roxbury, Connecticut
2d4dcbe3a47edd9d6a3c027ae7a6c0d9	Cape Breton Island
7347d67d7ffbd5a00c295cda5395ed7f	Thập niên 1090 TCN
5a2f9cbd8e35f88702e73df5b6356bb5	Javier Velásquez
6e51c0a7ed54bdcf16b6d3844345c42a	Antonio de Ulloa
fdcbf6d69cd24da03e26e377da012d16	List of South African provinces by area
2461000	Antofagasta
ce803f8935b497a81b90ee3ed141b856	Brian Conrad
27358	Kỷ Mùi
304326	Balloy
3265366	Đường cô-nic
2f522e7366e468a0327b63d4d968cadf	Baron d'Holbach
61716	Hồ Nam
581458	Espírito Santo
d4658c4897212a70894c7c243db01f19	Francisco Xavier de Luna Pizarro
79c637993234771afe14b5873a2d3b3c	1795–1820 in Western fashion
19004	Cháo
95024	Bangkok Airways
bbc907e79fdd29f49f313bb0668a5d57	Ban Tư tưởng - Văn hoá Trung ương
20533	20 tháng 9
2270	Ngũ Hành
b75c62cf03dea80db26a229e6ad14230	Huy chương Dịch vụ Tối tân Quốc phòng
3138174	Lagash
349072	Biển Ả Rập
0cdee84075341bd3aedbc03ac09503db	Tổng công ty Dệt Phong Phú
1b74f1d3ae958dffcad51710ce4f92d4	Dàn nhạc Mannheim
580868	Núi tuyết Mai Lý
505938	1798
07f15920eaa1f4b3ddb98b6689898f61	Thể loại:Phá hủy thập kỷ 1090
aa4c833b96542dcb628879b7f0962ed1	Thể loại:Sinh năm 1819
13d896331f8830361b3a56ab418f08ec	Bảo tàng Quốc gia Hàn Quốc
1250136	Liên Bạt
8268f9cbad09714b83c94608083d3f7e	Biến đổi Abel
5d2db84c3ba7ddc07cb75ecaad6bd75c	Bakunin
252434	Chi Hoa giấy
23315	Cộng hòa Ireland
20183	28 tháng 2
18ccab05958f47d6a73041bf526079ae	Thể loại:Phá hủy thập kỷ 1630
184136	Lê Thuần Tông
528909	1744
530516	1503
ad2c3eb121958745227ed7a50cd7fc8c	Bắc Vernon, Indiana
74b1d976cfaeec611cbc1497f0964172	Bazơ J
1249887	Kiến Quốc, Ninh Giang
254590	Gia tộc Miyoshi
75c6b55668e18af0b9c39cbaba9b9159	Maclyn McCarty
3271092	Pháp luật và Công lý
31108662c8afbdcc789cc5e63d747d50	Arecibo Observatory
1be1a1ad2c133126706c00ce525f5b27	List of feminist literature
399f7f74e5927d0a2a373fb5b74dc2cf	Dấu Jacobi
2460956	Kutnohorit
d8bce406210fe62b94b26e7ee97e6920	Barry Smith (ontologist)
20070	7 tháng 1
2449678	Isobutan
311467	Nếp cái hoa vàng
420248	Sinh sản
47565	Cưỡng dâm
94141	Patras
20627	8 tháng 11
1a78985bb89fd209d74d4ef0de3cb930	Thể loại:Phá hủy thập kỷ 1680
20605	27 tháng 10
270666	Cremia
529944	1281
405624	Hội đồng Tham mưu trưởng Liên quân Hoa Kỳ
4569acd02b92fa0af312594415ba81e2	Các từ viết tắt trong tiếng Indonesia
304332	Augers-en-Brie
1336713	Nhu Thuận hoàng hậu
56026	Chữ tượng hình
94993	Phù Dư Quốc
281351	Ayutthaya
58093	Chiến tranh vệ quốc vĩ đại
61730	Quảng Tây
194761	Nam Ấn Độ
ee25e71f98726a400ca793d194c61ce4	Bolvia
a1558548ab0ccee8383d73e2993931a2	Amnon Yariv
206111	Cửu Lý
64693	Hạ trắng
528997	1612
2365679	Camellia campanisepala
124052	Krông Ana
20552	30 tháng 9
250580	Cốc Thành
136538	Bác sĩ không biên giới
bd0f486ae0d2bef7d4318a635f87fe15	Tư vấn
3a123b54e30582e2a85cba8ddd311886	Lincoln con người chưa biết
28053	Belarus
3235266	Dịch Hân
821192	Assisi
184366	Đảo Jeju
3114287	Vương quốc Liên hiệp Hà Lan
785605	Yên Thuận, Hàm Yên
99fabdc17da6cc90f323ce5e36c7da7b	Al Qadarif (state)
246656	Họa sĩ
3972	An Giang
3311824	Quốc lộ 5A
0ca74c597e91f39bbc40f028cee106f6	Bắc Kavkaz
78588	Kitakyūshū
1eccec66cf390df33f18f481356e7f24	Chính trị Massachusetts
97230	Hương Khê
fd76877b36861b268201a3680ada535f	Bỉnh Nguyên
2d1c8436dfcf4673afcdf362f5a8a67e	Allison Engine Company
580822	San Juan (tỉnh Argentina)
86647	974
1221129	Phạm Văn Tham
b4b9074bb39eca6a6c2a105cc9fc399a	Bài giảng trên Núi
151408	Don Carlos Buell
1251542	Phú Hòa, Huế
2444464	Johann Gottfried von Herder
7816	Hồi giáo
20556	2 tháng 10
125819	Cư Jút
ac5f1beaee35aa62c02e96ad9058c74d	Leonard Huxley (nhà văn)
949626	Chiến tranh phi đối xứng
312812	Artaxerxes II của Ba Tư
267242	Briona
bf7168910bbafc9fc3ec7dd7e9809297	Ba(Pharaon)
658543	Người Bồ Đào Nha
f3fa519c3a125140f9c72ad1d6b7c901	Công giáo Truyền thống chủ nghĩa
239872	Bolivia (định hướng)
1519946	Alexander Kielland
48db36747ee8436ea2d74b49ea7c092d	Krŏng Kaôh Kŏng
37606	Anh hùng dân tộc
79593	Bộ Cu cu
107897	1927
75755	Martin Heidegger
585060	Chuông
51011	Đảng Cộng hòa (Hoa Kỳ)
50970296b23d1b5875be98062171a908	Emma, Phu nhân Hamilton
392191	1848
eba3aacf6b91e16cab84c94afc02e9fb	Ange Félix Patassé
261981	Casalvecchio Siculo
541027	619
1361	Quốc gia
83aa7cc943964d49a48361de1117b359	The American Cyclopædia
d41fb7ba6205d925c0f036dba8193c6d	Ý nghĩa
7913606b55ad3117164f1e9707f154dd	Chính trị Đức
67323	Cây Giáng sinh
488127	Andrea Bocelli
1250604	Minh Xuân, Lục Yên
1717535	Thể loại:202 TCN
b62e416728c901140acfff1f3cd72f99	Chống lại sự bá quyền toàn cầu hóa
25536	Chính quyền
1891959	Eucalyptus cinerea
237668	Ban Chấp hành Trung ương
112665	Afanasy Afanasievich Fet
20380	5 tháng 7
c564e1038aa44f0b9f2dbcc9c14a8e70	Christian Friederici
3272812	Giải bóng đá chuyên nghiệp hạng nhất Nhật Bản
111020	Bagdad thất thủ (1917)
3259198	Universitas 21
eb96b39da9b25a655513e15e88899742	Bloomington, Indiana
106174	Ngụy Trung Hiền
4cab3e348cf19d23a7f2583f0ded12ea	Hempstead
529172	1539
2456342	Jutland
98e97ed9d03d195ae8bd44bed1733d47	Caritas Keuskupan Agung Semarang - KARINA KAS
3179663	Ecce Homo
526186	Buffalo, New York
64658	Guam
bffe75a80a796f83ba05cecbfa253d44	Fernando León de Vivero
33500	Bari
1749380	Elvis Costello
40e63d231b458213577a0148c81c4c47	Bhaadrapada
c9d00e16f2dba72c520e43b3a745abdc	Á
dce42401bee94f88e57c85a0fe147d42	Ayacucho (vùng)
16144	Sinh lý
8f4884d52de14c566680e4629b373ec1	Lê Thị Ngọc Thanh
293550	Môi trường xích đạo ẩm
6923	Chủ nghĩa cộng sản
798372	Bình Thạnh, Cao Lãnh
80d6bf224e378812b004bdc1da31dfbc	Bartolomé Mitre
259352	Baranzate
3692389	Dương Chấp Nhất
359466	Trận Bắc Lệ
519980	Chu Hữu Nguyên
3186538	Aleksandar Vučić
203227	Thập niên 1890
308797	Hang Khải Huyền
571536	Chikushino, Fukuoka
239837	Akbar Đại đế
202178	Ai Cập thuộc Hy Lạp
188222	Tri phủ
788092	Cetara
25e00a4e2949da0e3efc34236f009e72	Chính phủ Jordan
b65e10e5e9dd7064e1f1bcbe37adbc6d	Bad Ragaz
ab9048248965038b5f0f835e554afa61	Quốc lịch Ấn Độ
50273	Acre
2440799	Cánh hữu
2aeda527ed63af0c681250e4780082c5	Chiến tranh Pháp và người bản thổ Mỹ
8723090a3e3bde8e602eda90e1d87e5b	Jiangning District
a9c16343f0883f492396e2c73da06f65	Các văn bản về Chủ nghĩa liên bang
ef94d68afbbbfde5ab1ba2fc716bef14	Camille d'Hostun, công tước Tallard
20265	7 tháng 5
b85c8b6c0f7ddac2e9fb14f88ea51278	Capital District
c2a67cb8fd716ea011c0767ca7379b71	Chính quyền Massachusetts
6e8be0c366e07731183492bb6aed48ba	Chất cách điện hoàn hảo
68ffecd8b8485d4e3c78ec5a4f71236f	A Nhĩ Tân
530945	1368
3401723	Thể loại:Mất năm 1650
304734	Bounnhang Vorachith
67244	Bang của Malaysia
bd6d05e72c5dee2726ad64c553a51b5e	Catherine của Aragon
3354651	Liêu Thiên Tộ Đế
384b208a97502d3199d0400d6eb9569c	Múi giờ miền Đông
1be6f9eb563f3bf85c78b4219bf09de9	Brand
2037	Hóa phân tích
750625	Lê Cảnh Tuân
c052c9fbb549463feb4905f513cdbe23	Chu Khí Thịnh
814358	Bãi lầy
3638301	Gioan Tông đồ
4632	Thế chiến 2
822368	Portici
97e9629a700793b8ba9ebdce2a5380b2	Alexander Herzen
f3b3a7ae09bac95f1373def3c70d75ab	A Nhĩ Sở Bác La Đặc
810260	Cải cách thời Khúc Hạo
650247	Albury
20463	15 tháng 8
c00ecf978f6b0de7bd1d7e0054ac74b0	Abbé Prevost
861209	Chất dinh dưỡng
7376	Bò xám
13836	International Standard Book Number
09d9964a6fffef0f37bb6613ea2592b5	Thể loại:Phá hủy thập kỷ 1660
544103	Phụ âm
3640059	Fédération Internationale de Volleyball
145248	Cẩm Thủy
475443	Mürzzuschlag
194839	Cuộc tổng tấn công của Kerensky
44394	Châu Úc
fc41876ef7620dbdbe08226e573e499b	VINATEX
74445	Kampong Thom (tỉnh)
68	Cao Bằng
aa2a2368dbf77aaef16184450fde0b8d	David Niven
2e78974589abde66970000320da11966	Avaré
92ebddf47e0b290550cb0dd9f19fa6c9	CRHST
3424233	Arius
73616	Laguna (tỉnh)
d9b6bbba7c0ffff9b92b6f1828ba12d9	Death march
0d4df9b2e95e13eae45dc3aa291223db	Diễn Châu lộ
5bf91c0f013964feee7c1bbd2ffe5e69	Châu thổ sông Colorado
109963	Chiến tranh nha phiến
1336798	Hồ Định Hân
95070	Dương Khang
1469026	Chùa Kỳ Viên Trung Nghĩa
6e9b04b69bd16a59dd20509f51cf1a28	Người criollo
3148492	Danh sách tổng thống Peru
68337	Milan
3643864	Hịch
125354	Bữa ăn tối cuối cùng (Leonardo da Vinci)
157777	Văn Chấn
7d57baa1b0e6e3565c70294c4b61081f	Trăng lưỡi liềm đỏ (biểu trưng)
cf8a23fc9c51be752d0b750386a5525c	Bóng chuyền bãi biển tại Thế vận hội Mùa hè 2012 - Nam
41862	Duy Tân
225456	Kha Thành
351087	Minato, Tokyo
cbbb4cd9681cbacef398b7832dd6bd26	Cayo
7031	Nho giáo
e919670def17611c44518971bb18e73f	Người Gallia
1253371	Thuận Hòa, Huế
33034	Bùi Huy Bích
e68ebdd72ad46cb1b8650be125167251	Dương Hạo (Minh mạt Thanh sơ)
1243977	Ea Huar
8ffaef79d0a23e5f5625d3020d784094	Briesnitz (Dresden)
51838	Đế chế La Mã
96de11a467efcd1126f70b2a59471e57	Bùi Tiềm
36eb00187c5850d07179d16c8b91046a	Cơ quan Khí quyển và Đại dương Quốc gia
530518	1504
fe4100f323365ab26fec831427425c97	Aleksander Meksi
2312622	C-12 Huron
491aba8d73a103f4a6c83b68beb58340	Cheomseongdae
773857	Đoàn Văn Khâm
2ffa2583c65fdd70a504c22b3af14906	Nhậy nổ chấn động
3181023	Harold ở Italia
25256	Chùa Bà Thiên Hậu (Chợ Lớn)
7a455e7cb7c113cebbe864c1cc516cc7	Argentine National Anthem
982889	Biện Hàn
806688	Chiêu Bình
d66f6d218af5d049a05c2ebc2c0800a5	Chiến dịch Sùng Võ
a46541c0622a7bb7d7b1175e22b90f63	Arik-den-ILI
23701	Hiệp hội Thiên văn Quốc tế
1677509	Chi Tuyết tùng
3164c63fbd9fe6a0e7816bed13162594	Bình dân
b9a43f2be5c447674d111ced953d7a4e	Cornet
3203734	Lệnh Hoàng quý phi
3158857	Alexander the Great
535073f835299e19e6214828efe8420a	Hoằng Tháo
952a379dd01efc745f9424244965715c	Francis Herbert Bradley
49f1605fc4b4d63944492be8c12a84ae	Bamileke
324340	Lê Nại
55567	Bắc Thành
60765	Hướng Đông
b1fb2406379f243f737ffb76b973ff14	Số bát giác chính tâm
a557551b1c12dd519e9e5ea8e7b82030	Eicosan
9831363f35ec001a704a68153f46d77a	Nguyễn Kỳ Sơn
08fcfc8db48a36a260b4e25e07f76a9e	AlliedSignal
530434	1459
367928c8174c7d06a9f3511c15f716e6	Bando (môn thể thao)
812080	Lật Dương
2426853	Etyl bromua
1618262	Cửa cắt khía
39a328170c87ed02fb6a704d3681e277	Al-Naser Airlines
3208923	Bùi Văn Huấn
2acea89f99d68970c0ac4e64373d78df	Alexandria Troas
2388011	Tống Gia Thụ
3694925	Chủ tịch nước Việt Nam
94f4dc5d68013d8bca70dc9aa1088975	Đại học Queen
54784	Sô cô la
578330	Thập niên 1540
6847	Chi Báo
db14ad3b69e4cbad738bf48e7da2e2ae	Eduard Geyer
275542	Ben Affleck
3700020	Lưu Đào
802867	Danh sách các tác phẩm của Aleksandr Sergeyevich Pushkin
8f0c7733b2656b880bfc13512349c681	James Rennell
01e14f21807cb1c69c667fe661920a8c	Nguyễn Bá Lan
be8239219a6b43e0bef4a99be2972539	Bóng chuyền bãi biển tại Thế vận hội Mùa hè 2016 - Nữ
24014	Thế kỷ 19
9873b355d13d19d0720349d998b3db26	Các chỉ số phát triển con người
543164	Durham
34717675ed99df52b66bb2678da6d46a	Mystras
24215	Khoa học xã hội
1f9c7e16993f549553957c4f197b0c40	Con tin
86427fc67a8921c6cd563012b85ab988	Chủ nghĩa cộng sản tại Ba Lan
71350	Besançon
303d1dfcb739eaa0c58cf341ae9a35d8	Cao Đôi
751da54a16acbfa059a8b60375ef75cd	Cấu tạo cản sóng
544358098db616ccdf30d09b55ec04d6	Haxtur Awards
4498	Biển Balt
532173	435
7d15b2830f210ab0955c2b9a7fa955e6	Bắc Phi Phi Châu
13087	Hôn nhân
3673778	Check Point
4670	Hà Tây
01965ce545e055172fb687c537ba2630	Alfonso III của Asturias
137204	Tây Phi thuộc Pháp
dcf81d8db7ff04772e56cc23be27fffd	Djebel Jelloud
2904ba378ca3858973ac1bba1bb15671	Gerard de Geer
0e5b00dff87762a36dd772319c112465	A Bích
3366110	John Diefenbaker
f63b7a416a501d63523b01d1d8ad0de6	Truyền thông Hàn Quốc
7afb346e2cd7d0f45caffaf809ad8dcb	Pietragalla
3221203	Ang Chan II
785306	Người Mỹ
3359875	Le Temps
528396	1708
747374	Bulacan
0f67265b6808ea43d135f3572543fffc	Air Canada Jazz
7543f51657d377500bada88742a0b8b9	Kafr el-Sheikh (tỉnh)
939	3 tháng 4
1228857	Mã ZIP
f6528f0251156e4e98900f1ec86aef78	Thể loại:Phá hủy thập kỷ 1810
1127312	Cao Ly Nguyên Tông
266968	Huyền Vũ (định hướng)
83232	An Tĩnh
529154	1517
1e37cb16d1ba69ea82378fd22aacd87b	Thể loại:Kiến trúc thập kỷ 1960
2a7ed3d670c363a59eb94d231daa3e8a	HMS Resolution (1705)
c2e07f18582b9752d2a321a1fe69f720	Grafton, Nova Scotia
95bcf8576c0073c3c98668760071292d	Auguste Laurent
85819	Sinh Đồ
f8e22896e3b974b2168fa654f29ffba4	Antonia Fraser
528995	1611
d7a1038accc3bc2e1ccdb6c5c11b6c4f	John Singleton Copley
114098	Phường (Việt Nam)
423951	Giải Wolf về Toán học
a65578bfa34864ef4abd76127e96d798	Chữ Khitan
42016	Bạch Liêu
418124	Henry Clay
1747166	Đại học St. Andrews
