63096e84897868d4d2c84009096589b3	Arabinoza
83922	Chi Chồn
f3fda123d302df86fce2793b1d55369f	Bộ Công nghiệp Trung Quốc
1646471	Annette Bening
b00a21247b7c1f7d61b3270838937c74	Charles G. Dawes
219029	Chiến dịch Blau
89128	Philipin
2439601	Con lắc
416425	Cung Tông
3351385	2084
469438	Chủ nghĩa cơ yếu
752004	DMOZ
56450	Tam khôi
140651	Lê Trang Tông
20531	19 tháng 9
4f2863f26e10562afb89b291a49dccb2	Nhã Lang
437e59e7051ef6ab524e84f2ed9b4aed	Amlaíb của Scotland
75aad45de869566adce78950eeba29ed	Thể loại:Sinh năm 1802
523797	1796
818607	Phân Viên, Chương Hóa
803262	Bregenz
529346	1682
111739	Carl Linnaeus
2cdbdb9551f7dc9ca16e81adb61a6483	Hà Ngô Sô
1402174	Axít nucleic
529588	1570
420009	Ngân sách
9d18096ce557c2532454d07d9b908b1e	Alvin Sargent
c3b7a7233abce793d7fcb7eb8644fbb9	David Waisman
f17ee535ac99cd9bcc55d31f89702318	Attrition warfare
38758	Jamaica
c2883abf9f970ef98b9b8510165d0e71	Chiến tranh Cách mạng
1667670	Chủ nghĩa quân phiệt
cdcab8dc81729eddd356db932690fd00	Cung Đắc Thụ
753335	Cancún
6e413fdd861f84ad53ce62d086e3f088	Carlos Filipe Ximenes Belo
27329	Canh Dần
10732	Thái Nguyên
540713	230
6af8c10da01499ea42d33ec55ebca749	Chữ viết tắt bưu điện Hoa Kỳ
267245	Borgolavezzaro
11764160	Gioan đảo Patmos
528922	1756
107898	1928
29823	Website
120765	François Mauriac
36533	Pinyin
349451	Lê Ngọc Bình
e7316302b484276df3122e89f941214e	A Love That Will Never Grow Old
527501	Băng Sơn
401253	Bộ Thương mại Hoa Kỳ
27347	Mậu Thân
20595	22 tháng 10
19434b8c01de3ca6df8a333abe7d18db	Cro-Magnon
406da7865b6e277d5f1209dfe6a44128	Alexandros đại Đế
205984	Từ Đạt
65158	Cao Xuân Hạo
44075	Cách mạng công nghiệp
718	Mỹ
529575	1582
d7d5b8ae34ebf62387c92d762f62ef37	1924 Democratic National Convention
24962	Ete
523788	1790
dc93067fbbe5f127814fcaba9db02f7c	Tạ Quang Phát
db7bf940a18459c14bb7e9b2ab01ab88	Maria Henrietta của Napoli và Sicily
3f1740f13111f72606af5c49dd8f9ee4	Bồn địa Gyeongju
d78180ddfd8f32d8b18983c141630ef9	Baltacı Mehmet Pasha
8529	Cựu Ước
96cbe30cec81132cecf74e774e096db9	27 Tháng 1
459e16001bb6ed24974eea50c3cf3df4	Thể loại:Mất năm 1886
112518	Bóng đá tại Đại hội Thể thao Đông Nam Á 1985
3dd623bcff1642b461292232a14e37c1	Gnaeus Papirius Carbo
80ace05ab46d4435843bdb13c7b2ee8e	Charles Curtis
20125	2 tháng 2
531074	1396
3243191	Chiến tranh hóa học
304734	Bounnhang Vorachith
357286	Hiệp Hòa
53764	Thể loại:Sinh thập kỷ 1730
18991	Thơ
5fa78d7683804717f3b9fbbe896d68ae	Chiến tranh giành độc lập Mexico
2451976	Dalibor
16850	BBC
309426	Trấn Ninh (định hướng)
944da0e1f7390c6fc12e24dca3e3be1f	Thể loại:Phá hủy thập kỷ 1820
20297	25 tháng 5
529598	1569
c07827a4e4efb439a2a346f379ea5b1e	Thể loại:Thành lập thập kỷ 170 TCN
818597	Lộc Cảng, Chương Hóa
20540	24 tháng 9
475413fd294e45f318758ea044dfdc87	Genitive case
44891	Hamburg
eeb50f564b9e45bfae491a781e42c12a	Thể loại:Kiến trúc thập kỷ 130 TCN
4cef0a5fb8139d058e20d3240a38320c	Alexander Brush
2461961	Augustine của Hippo
f7bcb4153b642b4663fa3f148cc58235	Edinburgh Fringe
6d57b779da0d58f478b0f939729cc820	Charles III
53728	Thể loại:Mất thập kỷ 1550
7794	Ấn Độ Dương
41395	Bảy Viễn
209301	Dãy Trường Bạch
59aacb2416176086454e42fb61ad9322	Fujiwara no Shōshi
540767	184
626102	Frédéric Joliot-Curie
529373	1694
9842fc7e48f8ae671bd2c97e59037364	Keratitis
ea7013107f7734a959a01aba7d346b83	F. Steingass
565049	Bergamo
67792	Bali
69914	Anne Frank
1243475	Dị Nậu, Thạch Thất
3351438	2088
ffb588dc044378ee80cc49dd2efbed82	Bình dân (La Mã cổ đại)
109943	Hành Dương
3268504	Albert I của Bỉ
422389	Carl Ferdinand Cori
db14ad3b69e4cbad738bf48e7da2e2ae	Eduard Geyer
6224dcad67635b0cc29f9fbdf8178bec	Luật Assyria
923345	Chiến tranh nhân dân
484140	Ngô Từ
415326	Linz am Rhein
2429982	Giây góc
2190449	Danh sách thành phố bang New York
18405	Hán Việt
31832	Nathaniel Hawthorne
56942	Khâm định Việt sử Thông giám Cương mục
366516	Giải Clay
1206787	Camellia japonica
102de53d40843cfa6aee969c0b86c941	APEC Mexico 2002
5aaf0568bc7346842bac0249b7d2ac1f	Hải quân Nhật Bản
360283	Lực hướng tâm
530414	1446
388123	Arthur Harden
1476371	Danh sách hiệu kỳ tại Đức
133268	Giuseppe Garibaldi
1751648	Bắc Borneo
264517	Gia Định tam gia
809567160786df23dd4630afff140aff	1904 Democratic National Convention
045bf19e9f92d336e1a650df9f2d429b	César Chávez
199325	Tripura
528401	1709
53a3106cb8681a5ec76859c21b1361d0	Năm thường bắt đầu vào Chủ Nhật
40041	Huyện (Việt Nam)
be8239219a6b43e0bef4a99be2972539	Bóng chuyền bãi biển tại Thế vận hội Mùa hè 2016 - Nữ
582483b4639e837c518b7a753848e5f1	Arkansas (định hướng)
e93aed038ec8f946404face46beda88e	1920 Democratic National Convention
860163	Giải Paul Ehrlich và Ludwig Darmstaedter
152599	Philosophiae Naturalis Principia Mathematica
528818	1715
68177	Tim Berners-Lee
11191	Bình Dương
e9fa30338c7209a9ed5a1378de8d4f34	Xerox Sigma V
c2b70ae47245dfc7b2b26a493b322a48	Albert Thibaudet
47529	Thế kỷ 17
3b3a99c7caca2bcbc92fd290a981503a	Nghĩa trang Old Bryan Farm
3208640	Biệt khu Thủ đô
132015	Điểm
d2e397d6722765a4df6665d68508acde	Geoffey Keen
a0fed9ff2b4a35cea061747dc951d523	Death-qualified jury
afe346f244bf518b7829114698e710b0	Gustavo Jiménez
20405	17 tháng 7
1244854	Hương An, Hương Trà
239766	Hội đồng khu tự quản
7ca294af32cb0aa3c47e5a0119289df0	Cực địa lý
67644c74683b527c110eff664b880270	Con hổ vùng Chowgarh
320254	Biển Tyrrhenus
33578	Hải quân
43091	Y khoa
3203732	Hiếu Hiền Thuần hoàng hậu
10301254	Cuộc đóng đinh Chúa Giêsu
189593	Cam Tuyền, Diên An
529586	1572
76281	Cô Tô (định hướng)
88029	Nguyễn Phúc Khoát
173344	Diên An
0824a350c143dbac12621d2fefada511	Boulevard Solitude
1742194	Chu Quý
120301	Luigi Pirandello
61f65b1715ac8cb55026ecd1ea5d6f56	Arthur Murphy
9401	Java (ngôn ngữ lập trình)
5a3617ac72d32e44e0202844de3262c8	Antinomy
2218837	Adly Mansour
827177	Công chúa Bình Dương (Hán Cảnh Đế)
258723	Chùa Cây Mai
2838816	Semiramide
106371	Cạnh tranh
392228	1864
658428	Avarua
529234	1622
204711	1887
25065	An Nam
1f9c7e16993f549553957c4f197b0c40	Con tin
ebc7e10e2e57812c9486058234cc6aee	Bouda, Algeria
e7612a5b09071090f4da16f8a0d312f6	Barrington Atlas of the Greek and Roman World
5295f08395d80bb2a78d48e62dbf8c19	Purine
18005	Tỉnh
dd1ec60d55817f33e93f0111816a57eb	Tính đa dạng
32562	Ba Lan
470625	Giải Nobel hóa học
519141	Chu Do Tung
528937	1783
20196	5 tháng 3
8620cc6590b504444b01bdab8b8f9bb1	Margaret Douglas
c03fb7aa1a828eab920268e93ca76787	Athelstan của Anh
117350	Chữ Hán giản thể
98390	Birmingham
189271	Charles I của Anh
144325345dcbc95c4c05d4d0366f1f23	Bờ biển Malabar
447354	Hàn Thế Trung
44373	Đại Trung sinh
d88d942839c323c6c0c6ca41054929c4	EMTEC
bec605a55710185c08c1af28ba96e756	Phá Đại doanh Giang Nam lần thứ nhất
36353	Huân chương Hồ Chí Minh
1484969	Hải Thượng Y Tông Tâm Lĩnh
202263	Dĩnh Châu
37badc1ed54c61900354f9cb0d704d06	Ban Chỉ đạo Trung ương về cải cách tư pháp (Việt Nam)
188139	Chương Phố
2059	Ancol
5e5c4181860da6076e11aeeb305fb231	Nhà thờ Quito
fdf97b816ab553331e11fd22ab6d1ee6	Stanford Encyclopedia of Philosophy
2b29f740472319f020f091c3d1004f57	Lê Duy Cận
5745	Rabindranath Tagore
123108134cf041db32a5d3f6bf35090e	Angus, Scotland
c7667b87f5d14e4ceea94f8c7fc4a839	Control premium
a8aef457bc4f1b46d7d63bffe077722a	Chủ nghĩa nhân bản thế tục
58f08d05ffdcf4a8f9134d9a419eeeb2	Ai Cập thời tiền sử
968768	BBC News
1b606ace77604ffc4847a40c4ace4ccf	Abū Rayhān al-Bīrūnī
7f76e722316a0c1861f8e65d948bf36e	Dáng ngựa
255468	Abu Bakar
812dd91df9771d65f24b92e08a759848	Thể loại:Thành lập thập kỷ 10 TCN
e2b6c7db20c6a3c560bf67c6f9e7cd9c	Evgenii Miller
371283	Carlos Saavedra Lamas
7fa18a4f3e3302b2645e2d7d8d98d1b7	Chủ nghĩa độc tài quân sự
202059	Bạc Châu
578377	Thập niên 1240
8bff14c608b6dfe4b15f28b75f3c655b	Gia tộc Ashikaga
3669817	Andrzej Duda
d1c4615b349489961de41934cd03dcd8	Thể loại:Sinh năm 1830
86106	Học vị
265776	Castel d'Aiano
1478374	Leiria
2456296	Ephesus
b868c8fd6c49b3cdd6bf34f296831597	Danh sách thành phố ở Pennsylvania
15359	Hồ Tây
54264	Thái Bình Thiên quốc
b48438b071cd1f97e28122e45eab501b	Chiến tranh Pontiac
3501230	Bệnh lỵ
27894	Nucleotide
e1ca9b81d79f37974b5ce6d8049a597b	Aris Velouchiotis
197459	Châu Huy
151384	Trạm Tấu
84398	Cơ chế thị trường
584168	Christopher Duffy
20210	12 tháng 3
407002	Lễ hội
b72ba662514d9aa541638e7bdd2f9b70	Anson Jones
35582	Colorado
63160	Jacksonville, Florida
ec7b7a77b1deaf0916e106e2a01fe2fd	Tây Sơn Vương
540772	180
200205	1769
63333	Quảng Đông
4249763b505226c0e47ad9dce3a61a23	Michael Meyer
92358	Quân Tây Sơn
30293	Bia
3440	Thứ Tư
65254	Cricket
812733	Demosthenes
3522708	Brasilia
699072c8cb2bba424d1bd57763f89fb2	Mojtaba Khamenei
204698	Hoa Dung, Ngạc Châu
3659739	Micropædia
eed7f3ab0a57d7483b255b45d33b5f8a	Balqash
3434483	Bán đảo Balkans
261994	Castel di Lucio
05bf085928967d03dd6ebe9784f15135	Arturo Frondizi
a782fd62accf2ef701c636c5b211c69d	Charango
368877	Chất lỏng
1752038	Chiếc lá cuối cùng (truyện ngắn)
0bbf69e5bda725b85d15facc5617c297	Xí nghiệp liên hợp toàn cầu
529559	1590
61794	Chủng viện
230705	Dân Nhạc
65617	Tiến sĩ khoa học
53778	Thể loại:Mất thập kỷ 1790
51355	Đế quốc La Mã
20305	29 tháng 5
c3ee069051f36e7dfb97bec4a0204d91	Antoine Coysevox
629101	Chủ nghĩa thần bí
18340	Định luật vạn vật hấp dẫn
1fcf93b0cdd3eb9f21e13ab2192069cb	Ambassador Bridge
1336896	Người Áo
190796	Cảnh Ninh
46e4eb58d48867b8bcdbc1657005eb91	Chiến tranh Chín Năm (Ireland)
be228caeb52e7a2f05e32e6a7d0a6bb8	Banlich Prasat
241936	Almaty
820931	Essex
b35a2e5e464dcbbc3298ae0823746fe0	Marcel Delcourt
98394	Lý Tự Thành
0c52e83de2a40b5fc0ad63526a8a1745	Câu lạc bộ Bóng đá Nữ Crystal Palace
787967	Amalfi
731a54805aa697ff7b9b5c6dee54c1c8	APEC Hàn Quốc 1991
463600	Tổng của Pháp
245808	Giám đốc tài chính
457948	Thế kỷ 1 TCN
529157	1514
71	Iraq
87015	Văn Miếu Quốc Tử Giám
d32dc222fd767ed1ca10d29f7545a0f8	José de la Riva Agüero
9347f040c814d32be4898051415acc38	Manon Lescaut (ballet)
cd4bb35c75ba84b4f39e547b1416fd35	2129
323599	Cheongdo
4e955bf316c38ae6263036879f896139	Chủ nghĩa chống quân phiệt
3471848	Chưởng vệ
0cebc33204d7ccfaf12826636032678c	Dan, the Detective
19f227886a4157688665f23a20f7405d	Allan Maclean của Torloisk
1279692	Thập niên 0 TCN
16194	Chính trị học
79107	Thập niên 1990
63669	Achilles
532171	432
3686229	Alan
95383cb8e9c5c9f4e60a2f066618351c	Chiến tranh Ridda
796287	Ngày 6 tháng 10 (tỉnh)
3264773	Arthur B. McDonald
4897	Ngọc lam
e4a0fac4615dd87fc3352405afd094f7	Bạch (nước Tần)
38324	Cộng hòa Dominica
783648	Quintana Roo
39a328170c87ed02fb6a704d3681e277	Al-Naser Airlines
369643	Auguste Beernaert
43065	Nhạc sĩ
20295	24 tháng 5
18561	Cận nhiệt đới
439b17b7568b5438fc91160482ea0054	Argentina tại Thế vận hội Mùa hè 2004
53626	Thể loại:Sinh thập kỷ 1050
69539	Bern
107938	1955
1487638	Cảnh Hưng
209840	Horatio Alger
50558	Austin, Texas
2219757c10eb81dfe2e089745d8c9589	GB2312
3243114	Quảng Châu (địa danh cổ)
c6e154ad5b30c43eeb197d75490af837	Đại hội Đảng Lao động Dân chủ Xã hội Nga
16432	Quốc hội Việt Nam
39aa5353a21086475c227f1bed07f9e1	Country-western dance
1244335	Hiến Thành
3663035	Amar Shonar Bangla
509335	Dậy thì
ac918debbbc29ab2a7b1af8830581539	Jōkyō
6f152e71615a9da287b203ce197b4069	Báng bổ thần thánh
65ff4daa6251e0926d0764b5d8fadab3	2492 TCN
62935	Chennai
443d615725051a972bb5c196f80f67b6	Brand (play)
976a2f418b6d5d9c49d37551b2d0904f	Carl Schmidt (chemist)
589943	Giờ mùa hè Trung Âu
263711	1878
3253409	Amenemnisu
93c69b04dbdf6bf91e6fa6c4fef1dcf6	Hệ thống Mỹ (kế hoạch kinh tế)
fad7fe5d53359e0a27f9af156f2b95bd	Lịch Copt
826861	Tlaquepaque
579275	Vải
1717526	Thể loại:195 TCN
dcb76b91d3cc82819d8c8e39cf16fa6b	Admiralty
64989	Lev Nikolayevich Tolstoy
319510	Danh sách tiểu bang Hoa Kỳ theo mật độ dân số
58437	Andrew Fire
529257	1641
91680	Khoai lang
4b305e845845d0e68238515650fefc2b	Danh sách hạt lễ nghi của Anh theo diện tích
138518	Bộ Nội vụ
107452	Bảy Kì quan Thiên nhiên Mới của Thế giới
070a47bb408e59a67801026cc050687b	Nhân văn Phục hưng
1313909	Bi đá trên băng
7a83c5f2aaf48927c47d2216aa24e99a	Evita (nhạc kịch)
50440	Danh sách hoàng đế nhà Thanh
3243351	Anh thuộc La Mã
5c598ccf6dc6729e7b374ce2dd3e5def	Bloody-Death
258538	Antalya (tỉnh)
3badd0b24205a64abde05f35c23ca4be	José Rufino Echenique
1250235	Lộc Sơn, Phú Lộc
3202089	Hơi
d63cae218fba5fa544d508d3f6aa27b9	Antoine Morel-Fatio
103713	Argentina (định hướng)
120f50866873a7072828bd67047f47ac	Photophone
100306	Gang
3635661	Phosphate
3657578	Anglo-Saxon
7c217e009d8c930997c9a8920bc6339b	Thể loại:Thành lập thập kỷ 190 TCN
1645307	Tập Đình
2452690	Bóng đá tại Đại hội Thể thao châu Á 1970
32184	Sao
63821	Toàn Châu
15ee3d2b2f15b6da5f603b1611fc3b0b	Azai Sukemasa
bb661fd6a64af7206c109b59ecb9db91	Công ty bảo hiểm
26186	Ai Cập
188636	Madeira
63421	Cách mạng Tháng Mười
77831	Chất hóa học
93225	Kiến Xương
95245	Air Macau
53732	Thể loại:Mất thập kỷ 1570
1572217	Niệp quân
1290007	Chúa Con
b2ff3d69812551d47cf51849f60eea2a	Paulus Orosius
109132	Bóng đá tại Đại hội Thể thao Đông Nam Á 1993
505263	Hoàng Hữu Xứng
1666962	Linh mục
237783	Ban Tuyên giáo Trung ương Đảng Cộng sản Việt Nam
3049	Nguyễn
286042	Henry VIII của Anh
19465	Thể loại:Mất thập kỷ 1910
4169	An Dương Vương
137666	Moses
120790	Ivo Andrić
5ca853d4adc5e88204f1ee1ba02f4ecc	Katipalla
d184cedff9cc2d4720dcf9c219fda194	Franz Sigel
1915f5b7072a7f66e79b7036cf04a982	Vương quốc Anh (lịch sử)
e13b15462af01397631ae414bf743dc3	Chiết bằng dung môi
72042	Enzim
531896	465
45720	Tam quyền phân lập
b89a00987fcbda4a80ce0192530fdfc1	David Means
513968	Phạm Đình Trọng
99273	Bán đảo
657edb6a5a8e0dc3706756abc580f873	Charles Gates Dawes
66842	Hướng Tây Bắc
720d75992ba77e8ffa861fb377a91cbd	Nola
27328	Kỷ Sửu
329148	Battambang (huyện)
1401804	Chạng vạng
1a30bcd0de231cfd267e287bb4194c24	Hồng thập tự
5fd65b038c7d3b37a5d1599952a15f08	Cosmic radiation
528995	1611
795140	Kep, Campuchia
5d0a6782bf48696c26b4948f709964e4	Beethoven Carlisle
530205	Thể loại:Mất thập kỷ 160 TCN
13875	Năm điểm cận nhật
ea40f7092b334615237a1aba76421c83	Brian Large
a196c79219c24cdcb288c9e0f4a6654d	Quải
106809	Bộ Văn hóa, Thể thao và Du lịch (Việt Nam)
f90cfa0d7ba89cbff88c875ed73f943a	United States Census Bureau
52898	Côn Minh
541255	Ebro
7547	Ba Ngôi
728619651cfc8d59ee83770ccef1a6a4	Chu Do Trâu
798372	Bình Thạnh, Cao Lãnh
294574	Khí hậu nhiệt đới gió mùa
20117	29 tháng 1
0288c524702e78ad0d0a9b6b135eb6cd	Francisca Cernadas
487449	Ngô Lập Chi
528860	1717
252628d631d7b88f683fc31cec679b36	Frederick C. Beiser
291469	Công an
2236dab25421941851c418b370639dda	Danh sách đô thị ở New Jersey
33a696945c69f7cb040aca0d63bab67f	Alemdar Mustafa Pasha
4056599d862da85e75dff80ff91fafdc	Hakim Bey
880468	Carlos III của Tây Ban Nha
51d80e38bb69c6f14cf1f0710ad24390	American Museum of Natural History
86c25b71e2080a36a7afbf024ba6e4f1	Thể loại:Mất năm 1972
40748	Phổi
3aef0a4581cec7fdbd268687e4a83d9d	Aké Loba
525856	Cha
1285793	Alemanni
403831f67a5c8a644821bb3dc6bf7b99	Hải Lang Sát
1250150	Liên Hòa, Kim Thành
6924	Cộng sản
3426895	Bóng chuyền tại Thế vận hội Mùa hè 2016
242561	Arno Allan Penzias
62059	Chiến tranh Hán-Sở
362423	Kilômét
230655	Arendal
969529534b3c18fb896226ee9b4036ee	Oenomaus
231867	Córdoba (tỉnh)
41630	Thành Thái
5711	Nguyên tử
176068	Chiến tranh Pháp-Phổ
702800	Danh sách vua Bỉ
83179	Máy bay ném bom
22417	Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam
605669cab962bf944d99ce89cf9e58d9	Health
205970	Dàn nhạc giao hưởng
4543	ASEAN
321344	Charles II của Anh
a0dd0c8780377aa2a6f5028e6ca67f41	Keian
b7fb9a56cd37075beb234761b47b3a9d	Vành đai mưa nhiệt đới
236169	Ben Roy Mottelson
1279658	Thập niên 150 TCN
8dd010718d6d6edcf3d75a48eb6c10ef	Atar
7dee9a929dfaefe0aa70309f04d3690f	A Kha
561511	Roi (định hướng)
296255	Bunkyō, Tokyo
332902	Almería (tỉnh)
c5faec3680c94dd520bd6798e3ec05c3	Albert G. Riddle
161895	Ceres (hành tinh lùn)
090fef6f122ab8e99c032a73e18a2a4d	Arvid Carlsson
1287	Chiến tranh Đông Dương
9cfb7703e14f4be82e4d347be88b2b61	Thể loại:Phá hủy thập kỷ 1710
9f949b8a67b55644a112b0aafcc2f464	Arequipa (vùng)
22eee4520b8fc052c5afb94aff05569e	Abbas I của Ai Cập
402386	Múa
231870	Bayezid II
40549	Cương cứng
93673	Tiến sĩ
bcec480beea989f8711800932595732c	Benjamin Lundy
27325	Bính Tuất
451858	Gioan XXIII
329118	Phú Thái, Kim Thành
528890	1731
544502	Andrei Konstantinovich Geim
50672	Chiba (thành phố)
e207c73ed1658693345c325e0a4691ac	Al Jazirah, Sudan
1279523	Thập niên 70
6c83cb873dcbd0a467f63021059ebf73	BVIFA Football League
e01ad5b0c4b3ab6b0e001361c78e988e	Ameriflight
373508db7686a23c4522dba9f329b5cc	Chánh thất
8da5fc23212e53bd3bf080231bfd7771	F. Borngen
528865	1720
530874	Pha Mặt Trăng
138470	Cộng hòa Weimar
837d6bfcbdc8b1cf945bed718abbf8d0	Hải Thụy bị cách chức
9bd70a8c5b726bb4f522a8c1ac25c1d1	Edward Frankland
f8d454647105244509ecf08cd1518ff8	Thể loại:Kiến trúc thập kỷ 1650
cee9b2e2d0962be87e6ad99c6ec1441a	Ba Nhã Tư Hộ Lãng
3e12d9c1f1989c65a1f2e19812313318	Cố Luân Trang Tĩnh công chúa
45554	Bắc Tống
258516	Amasya (tỉnh)
201333	1870
63726	1981
2175	8 tháng 3
3637655	Algérie tại Thế vận hội
732496	Cục Kiểm lâm Hoa Kỳ
e36b6449e06fe8dd76513d83ae485335	Bóng đá tại Thế vận hội Mùa hè 1952
53743	Thể loại:Sinh thập kỷ 1630
bf49462f85ae9df34617bb5a39593f15	Balada
289099	Château-Arnoux-Saint-Auban
49330	Thế kỷ 15
eb1eb71ff50aeb9bbc357d8edadb243d	Bertha's Christmas Vision
8c00db19538717b1d33076530203c817	Ny Carlsberg Glyptotek
44072	Lê Văn Duyệt
531168	707
2422324	Thành ngữ
f2f9aa9bcf21505e5c81f9547955c501	Chung kết FIFA Club World Cup 2013
15383	Hàn Quốc
0123aa84923989335c4c85001581a9af	Chủ tịch Liên minh châu Phi
20152	14 tháng 2
63605	Lê Thái Tông
49335	Thế kỷ 18
1102127	Bách Tế Thánh Vương
d66a5e15141fbd534335b80e8d0d4151	Lịch Aztec
139552	Andrew Jackson
4312	Xanh nõn chuối
541073	Catania
1249794	Kẻ Sặt
31617	George H. W. Bush
579036	Ban Dân vận Trung ương
564b2a848f89530a0b44027f143eccf5	Danh sách nhà bản đồ học
532170	431
7db741fa6f7e05754799cbee068c0f4a	Ballistite
20212	13 tháng 3
814013	Danh sách 200 thành phố Hoa Kỳ xếp theo dân số
6d998a17fc8dd0d7fba9a616d3655eea	Dennis Hastert
25579	Đám mây Oort
01bbd2cdfc61b33729cd5af2547d859e	Cyrillic script
391955	1800
11444	Tất-đạt-đa Cồ-đàm
532173	435
233615	Antiochos III Đại đế
7880861	Apulia
25104	Lương Thế Vinh
d3507551f05a9b8bd1e47f4d0adbd459	Tsaritsyn
ebfe5e1791db03c4cd6ab95801e0977d	Hit
e9471c784cb8aa64b5fbb6dcf5c4133e	Abdul Rahman Suwar ad-Dahhab
5213884	Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khoá XI
06e41b22385561866365ea8c9a5905ec	Công quốc Oldenburg
3211354	Catherine xứ Aragon
7573287	Chu Thường Tuân
4167	Hồng Bàng
59d5fdd62c1d3d908012df221f5ca9bc	Reichsrat (Đức)
1cba79df98cd1c9bfb4f9a65f7210f35	Assembly of First Nations
81f8198c958b9ccd74a8ea8bda6969ed	La Comune
524263	Lazio
202182	Tuyên Châu
2284722	Ninh Tông
758fad4205b69bc0a41641fda941dc2b	Festival quốc tế Edinburgh
80	Hà Nội
3260911	Kinh thánh Hebrew
193806	Triển lãm thế giới
2487b7f516c84ddee1960b93e247fcc4	Augustus H. Garland
24889	Y tế công cộng
59225	Kỷ Ordovic
323375	Cương lĩnh chính trị của Đảng Cộng sản Việt Nam
20434	31 tháng 7
895	23 tháng 3
1295811	Phương pháp khoa học
5fcb54fb24e1eae6220159bae3dbdcec	Các quan sát thiên văn
52220	Ares
f1d79124e61e11509e6170ae378cd3c2	Interbrew
468996	Ahhotep I
3f3d4849c419a7a22d0a34bb450af6c4	Balthasar Gérard
668460551082feb3ec9b4a69c91d4fd1	Abd El Aziz Muhammad Hegazi
3361e51e51267383282d1e32e6c504d2	Ameen Rihani
25660	Bùi Bằng Đoàn
529583	1574
117269	Suleiman I
494142	Kim Anh, Kim Thành
4a0493a21aad02b34852335e06dfd4a5	Không gian Kolmogorov
3707674	Giáo dục nghề
0580da7b9b9beac03f6430afa575466b	Balcones
187205	Huỳnh Mẫn Đạt
bf43a1d2b87adfb0f0f34612936bb3c1	Thể loại:Thành lập thập kỷ 1550
c15545a3c6bad56c45bdfe8fdec7fc7c	Cesare, Hầu tước Beccaria
120474	Bjørnstjerne Bjørnson
fc954c5bd52fca4cab9408037b48d98f	Hệ thống đánh số Armenia
307695	Allanche
107341	Jean Lannes
530088	1132
187111	Kim Môn
5ad13218f1a2696591d848bdcfa3d63a	Trận Buena Vista
822190	Elmira, New York
41820	Hàm Nghi
982105	Gyeongju
107006	Maghreb
37618	Bùi Thiện Ngộ
8f0c7733b2656b880bfc13512349c681	James Rennell
3635486	Robert Borden
1279644	Thập niên 10 TCN
304317	Beauvoir, Seine-et-Marne
102404	Kinh Thư
b6d36c9a0a76d638019a80ea481e7e67	Abraham Pais
f8ba24f6728e07f7927e22219d3f45cd	Everard Home
529384	1668
89871	Giải thưởng La Mã
3ebc3c3aca19656690f72f1557c5f2bc	APEC Hàn Quốc 2005
2f79f814f63ab4b91afa9efdad7fb8a8	Bernard-Henri Lévy
20458	13 tháng 8
5be20fc4e5865fd2b12cb8b1bb304b5a	Ký sanh
b9b990095d251e0ead30a991d31f467c	Giáo hội Công giáo Độc lập
133700	Phương Đông
28296	Joseph Fourier
1617357	Bờ biển dốc
13874	Năm thiên văn
6e6d1d7ba12d6c0ab57ee222b953abc8	Harivarman III
529333	1673
46232	Cao Tiệm Ly
37565	Cameroon
fcf24c3fcbf1365d736fdf5e69f2856d	Danh sách các quận tiểu bang Massachusetts
1242819	Bình Thanh, Kiến Xương
724854b7576f74dabab6c861d4bf6340	Alpheus Babcock
cce7e2f5ed66d1202245a6167f233d03	Văn minh phương Tây
f17981c3f4460f7dadc52ca03d15f12d	Bernard Brooks' Adventures
3670275	Giờ mùa Hè Đông Âu
399750	Hoàng Thái Cực
7dc1c7653ac42a05642a667959c12239	2144
78808	Belfast
318625	Không gian
404658	Despetal
17964	Tiếng Tạng chuẩn
907	25 tháng 3
328693	Kế Đô
1377515	Từ điển tiếng Anh Oxford
1557956	Hoàng Văn Kiểu
129923	Indianapolis
e04127f7a352f6a82881d125d28e4046	Danh sách các tiểu bang Hoa Kỳ theo tỉ lệ phát triển dân số
171a98f4722267176bd0fe81f8980074	Arequipa
1683332	Acinonyx
3bb01a876d964c685659d2a2f7fe240a	Javad Fakori
86026	Hội nguyên
d3c3576c910b7934a85128a9fad00c3a	Carl Liebermann
3148314	Ewa Kopacz
8c143a23ee708f21c74a28c835b52b6c	Đá lửa
119378	James Monroe
9eec2e9246355b35b9858a44dc8ed31c	Chu Hoằng Hoàn
57658	Thế kỷ 8
183371	Tiểu Á
3687152	Kim Xuyên, Kim Thành
17e8f3b672d8111f0f9ee1f93a52fc06	Hóa học lý thuyết
1251176	Ngũ Phúc, Kim Thành
292ce23697b3905b4cf8e8b29700d5a6	Lâm Thế Vinh
1251534	Phú Hậu
1746859	Augustus (danh hiệu)
12468	Tiếng Bồ Đào Nha
7442008	Ancien Régime
308527	Nguyễn Hữu Liêu
20106	23 tháng 1
505855	Thị trấn
528406	1706
528919	1753
37170d2169a4bee9cc7136f91a639a59	Argentine peso
268525	Città della Pieve
71049	Drôme
ae9ca095fabd9273449f133af5b3a154	Cheikh Hadjibou Soumaré
183686	Adidas
4a77f2231e28d555f3bb8988c71942aa	Cuộc vây hãm Almeida (1762)
98207	Lăng Minh Mạng
