1519217	Curitiba (định hướng)
373508db7686a23c4522dba9f329b5cc	Chánh thất
8da5fc23212e53bd3bf080231bfd7771	F. Borngen
47565	Cưỡng dâm
412133	Người lao động
997113f923e061020aaec29c95c525ad	Biến tấu
7520c6457fb4694352cd82da9754d4f8	Hugues Aubriot
201333	1870
63726	1981
2175	8 tháng 3
141204	Hiệp Đức
3637655	Algérie tại Thế vận hội
1763781	Chung Linh
8c00db19538717b1d33076530203c817	Ny Carlsberg Glyptotek
2422324	Thành ngữ
fcc94bd77f441b1c3a441cc7b41ed1a4	Castlederg
16773	Hồng cầu
20565	6 tháng 10
530507	1497
ab1dc8b30def7043e35b760aca27146b	Galatia
8390693	Khu vực tài chính
1222292	Loài ít quan tâm
1214	PHP
861209	Chất dinh dưỡng
850	Alberta
812623	Giang hồ
2364502	Chelidae
9ee33fcd03bc2a58248c512722690a57	An toàn sinh học
a414c7b4220a6b74f66088f4393fed38	Phạm Thị Ngọc Quyền
20212	13 tháng 3
6d998a17fc8dd0d7fba9a616d3655eea	Dennis Hastert
63524	Bayern
391955	1800
444457	Frankenstein
3672744	(24952) 1997 QJ4
32973	Nhà Chu
7880861	Apulia
229451	Ngô Xuyên
ebfe5e1791db03c4cd6ab95801e0977d	Hit
578387	Thập niên 1150
103120	Hoàng Liên Sơn (tỉnh)
96910	Hoàng Thị Cúc
551729	Bệnh Parkinson
7a17cb47b1ac3e2f7f24afcc77d04ec1	Bartolomeo Columbus
831382	Hiệp sĩ (phim)
32dcbb9c1805223585d0d5a207fe5dd0	Các phép biến đổi đại số
1cba79df98cd1c9bfb4f9a65f7210f35	Assembly of First Nations
81f8198c958b9ccd74a8ea8bda6969ed	La Comune
b3f24c0bba4f650a55538b9867db6974	Aqtaghlyq
202182	Tuyên Châu
b7b48be185b66ccd2846947adcb946ed	Quỹ đạo hành tinh
18024	Tích vectơ
2487b7f516c84ddee1960b93e247fcc4	Augustus H. Garland
323375	Cương lĩnh chính trị của Đảng Cộng sản Việt Nam
853	Anh
895	23 tháng 3
5fcb54fb24e1eae6220159bae3dbdcec	Các quan sát thiên văn
bff6b460caf8df38949abfd856af1ddc	Cuộc tàn sát tại Wounded Knee
4e0a88b850f67de1da68b88cf1ef60d9	Thất tiết tiên
117269	Suleiman I
76ea2cf54fe5963229f4f4365491c95b	Christina, Công nương xứ Toscana
bf137048e1783689fa42bedea7f2e676	Thuốc súng không khói
13058	Phối cảnh
fc954c5bd52fca4cab9408037b48d98f	Hệ thống đánh số Armenia
530128	1128
107341	Jean Lannes
530088	1132
a6fdbbba725bc5d31e7fd1736f14a996	Cờ Trắng
7d81955d0e50a5658f30551ac19b496e	Bốn Con Vật trong sách Khải Huyền
41820	Hàm Nghi
1279644	Thập niên 10 TCN
2302489	Bảo tàng Tôn Đức Thắng
b6d36c9a0a76d638019a80ea481e7e67	Abraham Pais
2250	Sông Hậu
847064	Quốc kỳ Azerbaijan
7d62697bbe3378e4bd0f564b9a18ac88	Brômua
201750bbbbe25c0eca33974224903ae2	Stereochemistry
20458	13 tháng 8
a8b2eb0826b8158e706b0142fa3c07ea	Gemani
fb9c907d2df86d4d453d2ee06535ea2a	Hệ thống phân loại
529955	1290
cdb93fbee4a4d39284a5aa5b05a137aa	Amr ibn al-A'as
6e6d1d7ba12d6c0ab57ee222b953abc8	Harivarman III
b3730a22848f6848310fdb5e957814b9	Sartilly (tổng)
189484	Diêm Lương
3939	Mô hình màu RGB
39469	Điểm sôi
d081805f707654b183cd576ba9a1da93	Hứa Tông Dương
171a98f4722267176bd0fe81f8980074	Arequipa
57c5769dd3cfe0b06033d558bd326448	Boomerang (Southeast Asia)
d3c3576c910b7934a85128a9fad00c3a	Carl Liebermann
45045	Kim cương
4fc81239332d7eb42fb44a61020eec5b	Edison Rijna
1239234	Bộ Chân đều
1295815	Băng Ku
3272209	Tiểu não
3280608	Nguyễn Anh Vũ
768c31ff80660da97f4a18f37e452cbf	Jesus Christ Superstar
20106	23 tháng 1
a5ebac373c28edc32dea960b862d31a9	Phú Dương, Phú Vang
d1655203da88545b2b5b24a657d9ada7	Maximilian Ulysses
647434	Cúp bóng đá châu Á 1960
92ff1ff99fac266bb02a1fefabb8b7a3	Danh sách các chủ đề khoa học tri giác
089aa9b0d27219f28161b70475301a70	Alsen
3268462	Justin Trudeau
3350375	Benito Juárez
8802fe3d4838fa201b20484a65711776	Các giải thưởng khác của Liên hoan Truyện tranh quốc tế Angoulême
1667178	Trịnh Thanh công
29a3eb3c260721d3dd2f81825e9cbef3	Di tích Paleochristian và Byzantine Thessaloniki
70f21daf22b663b34859aa7708b43cc0	Hội nghị Pháp
20413	21 tháng 7
7530c14afcd82b3e2f8e3b028c962f20	Hệ đo đạc
3162931	Định lý Pascal
4e3a94cd45abe5a7756ae8bc9f49b0b2	Spanish conquest of the Inca Empire
523977	Thập niên 420
241861	Araras
183331	Thủy Phú
6a49c095c02f36a8f47e492bd3d2854f	Hậu duệ của Ali ibn Abu Talib
99434	Bộ Nội vụ Hoa Kỳ
12296137	Chiến tranh Ba mươi Năm
530108	1113
087db7ddf74c3ccd088a188893ab35a8	Abraha
2129	Người Việt
2a386bc741911508cea6d4a101ebd137	Herbert Stahnke
1642984	Camargue
3331811	Giờ Mùa hè Trung Âu
311347	Võ thuật Bình Định
865	Linux
51dad4267a5458e9f93fddcf102ad3a9	A Lý Cổn
555722	Phong trào Duy Tân
7fe6486eaea9df53306a726b6c5ddbe5	Arthur Bourchier
185250	Gangdong-gu
13b810c49a1769e61b3432653d84677e	Chấn thương
68987	Koh Kong (tỉnh)
3431886	Dù che
c49a12e9901ca2a32663b69c5691621a	Daniel C. Roper
804478	Hồng hoa
e1ca3c1ccca6654c77039724ae42a13c	Lưỡi liềm
44120	Chủ nghĩa duy tâm
369431	Bertha von Suttner
2e6d6fa19ffaa7f576675e066bbb315a	Viết sách
256aabbe61ecf4199353f1d1a68e58f7	Copa Airlines Colombia
3196714	Hội hóa trang ở Rome
417782	Duderstadt
0adf8b5f7b015825dc87823ee58ab83a	Chaldee
464873	Chương Hóa (huyện)
540992	7
523787	1788
6f68745d54ca97b9b1d79ba803779abb	Psalm 90 (Ives)
11502242	Phái cực hữu
39128ba7a8d6828f2937060726981752	Chung kết Cúp FA 1877
527127	Tiếng Kazakh
4262c8d651fdb2f9e739fd5bc68b8d99	Công quốc Schleswig
1244461	Hoa Lộc
3d0eb1e1b94af21ff4dc0db55b2c2838	Gia tộc Nitta
146877	Lê Trung Tông (Hậu Lê)
0a41d2219f1e1490407f8aa21c0ddcc6	Eddy Paape
0491ad927ff2224089451d6f519dd0bc	Đường Phạm Văn Đồng
1244852	Huổi Só
414610	Hạt
feebcd73ae3f87677802f1b18d218273	Death of a Salesman
392138	1818
0e4955ab10e3e0f168cd4e609f36c54f	Danh sách các thành phố và thị xã bang California
521480	Chiapas
110764	Chiến tranh trên Thiên đàng
572622	Người Pháp
242479	François Dominique Toussaint Louverture
1716687	A Lý Bất Ca
046de523edca46879ce6b4123624bf9f	Bandy
c26c94887056e375c95d486db0d281bc	FPÖ
2839	Lạng
a51f277f67270d186291f387284689e1	Bá tước Cambridge
3374939	Vinyl
578381	Thập niên 1210
45977	Công viên Thống Nhất
803422	An Nông, Tịnh Biên
3131105	Đường (chất)
800947	Bourei Cholsar
845399	Bỏng ngô
778be90821a7c637b7e96520c71effda	Chihuahua Fox
529229	Cột sống
396e3aaacb59a53b707df13f09449375	Bán vệ tinh
1c860a5c4920134730944f48b4297eb3	Continental divide
23941	Họ Lan
778099	Avressieux
3177663	Gia tốc trọng trường
26342	Như Lai
530430	1456
3402755	Hiếu Cung Nhân Hoàng hậu
3338232	Tỉnh trưởng
529309	1657
71588	Belfort
323143	Nguyễn Hữu Lập
540504	311
437123	Bavet
b75c62cf03dea80db26a229e6ad14230	Huy chương Dịch vụ Tối tân Quốc phòng
1b74f1d3ae958dffcad51710ce4f92d4	Dàn nhạc Mannheim
ff761059c81ad472696b2ac40acb4d0d	Beguinage
366ee8e6426514b7e76d086cdb0f8c47	Cuộc đấu súng Burr-Hamilton
9c34a09d377036defcc5801156783024	Albert Lutuli
543164	Durham
3170234	Dương Thục phi (Tống Chân Tông)
295124	IMI Galil
bd0f486ae0d2bef7d4318a635f87fe15	Tư vấn
24401	Mômen quán tính
90837	Hình trụ tròn
330670	Alhama de Almería
532115	418
25709	Cung Tiến
84130	Nguyên lý cung - cầu
42ab7455419b08ca9297811d657ce67d	I Don't Know How To Love Him
60c4458ec7e4cf02c084b882b551f24c	Abdul Salam Azimi
0682b8e626af9426febb76915d18dc39	Hắc Thiên Tôn
888db8b3789019c76a027ec773077e90	Danh sách huyện Hàn Quốc
529737	1316
d2d564594846777dd6f1357192c7086e	Dân chủ không đầy đủ
1523519	Nham Sơn, Yên Dũng
0d4df9b2e95e13eae45dc3aa291223db	Diễn Châu lộ
2459919	A Tốc Cát Bát
e68ebdd72ad46cb1b8650be125167251	Dương Hạo (Minh mạt Thanh sơ)
3472cea52c2e5af1434116c1534b4d88	El Paso County, Texas
78063f3d2763416bf2dcfb3ad5b539ae	Thể loại:Phá hủy thập kỷ 1570
a5bdfc1636d834e68d185676d6f8cfef	Joo (second)
804865	Baikonur
1585706	Brentwood, Pennsylvania
809030	Lử Thẩn
795767	Angaur
032123bc82cfbf63bc24b0f39acf94ed	Bạch Bưu
5c5d7b86ba0070b9ea3ded5b37637ea2	Ba Thê
506365	Andrein
492635	Cầu Giát
410314	Anthony van Dyck
20b7b2ce94b83103137aaa3e83baa507	COMESA
a482052de2bb2cd4a4466dc073389d39	Bầu cử giữa kỳ
78871	Air France
530588	901
546232	Dậu
86c4990d7cf908ddb290080fc5f104bc	Đại Nam Chính biên Liệt truyện
0a705c13a30314135e165ad0c3ef2635	Elipxoit tham chiếu
081adad4938eda51b4621fd91efeebef	Alex Clare
417e71ed260c4126030726cb28b0c5d4	Andrew Jackson (định hướng)
3519	Tháng 5
6696808a470bd82eb6aa44d098107c65	Sách Hôsê
4614	Hóa sinh
7cc46f17ba0d13c7ed1b64bb2d5b2eae	Bertha xứ Kent
578372	Thập niên 1270
16490	Hệ thống Thông tin Địa lý
c5ed9602b086b34289a504ad36f5fa2c	Luận án tiến sĩ
34145	Tình báo
d4684f0f6b70889c1850294760b767de	Thể loại:Phá hủy thập kỷ 30 TCN
3158945	Bảo tàng Pháo binh (Việt Nam)
f13201a0a3bf272b6792fd1089ebb3df	Howell Cobb
72bcb6fd101254f17500f0a881648eee	Chó rừng vàng
46965	Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khoá VI
4177fccf845ae88ae85d823f1cd398f6	Bruno Meier
261998	Capri Leone
74362	Vùng của Pháp
2286927	Giáo hoàng Agapetus
c2a1480433b569469af2c4ea3558fc88	Bão Hattie
1519662	Chủ nghĩa khắc kỷ
1440035	Kim Long
232104	Añora
644443	Lý Nhật Quang
d95bdb813a5af151f344ce855147d95c	Bi đá trên băng tại Thế vận hội Mùa đông 1924
184975	Bãi đá cổ Sa Pa
4262f20d72bafac51fa06c814af8ea87	Chiến tranh thời Tiền sử
528903	1742
36a2a05ffd76daba257006c9b567520b	Chính trị Argentina
107900	Hà Thành đầu độc
62746	Andes
197730	Alexandros IV của Macedonia
43018	Bộ Giao thông Vận tải (Việt Nam)
10331ba1891bdeb11986be3166c685e3	Diethyl ether
8fd8176f5e3fcfb1d1d00d614e37adba	Cháo hàu
c2f91a3bbac2038dd47c29bde1cfc1a2	Boleslaus I of Poland
7ea351537ce8494159242b5c02da4d5f	Bairin
1b58edda2b147b55a80fb6f1f2a1de9a	Biến thể của chữ Hán
e3d6caf5c65d4a622b50c425b186b010	Auctoritas
2222612	Huy chương vàng của Hội Thiên văn học Hoàng gia Anh
470623	Eduard Buchner
289107	Castellane
20382	6 tháng 7
1301101	Bioko
231380	Kiến Thủy, Hồng Hà
18c324d68649bd425c8f079dfbeb6f09	Cuprit
1279645	Thập niên 20 TCN
bffd70a36107ba3abc8c0217ccd2492d	Dân số đình trệ
237056	Chủ nghĩa biểu hiện
2434090	Jean-Louis Taberd
38212029906c03a8e4e5218288f9c625	Danh sách Latinh hóa ISO
9a9386228adf6394efa6f23209bbf857	Stefano degli Angeli
1290	Chiến tranh Vùng Vịnh
6082	Nhân tế bào
04e534c6a8a6e4de4ab3f2a9169f77cf	Frederic Louis Norden
328766	Quả cầu vàng
a5695a578c7d79c6628894eda78aa066	April 6
1449795	Mùi cỏ cháy
304485	Chợ Đầm
1645503	Lỗ Ai công
8da7c1381776821d2289480b56f5df71	Bác Đệ Tái Sở Hỗ Nhĩ
78698	Stockholm
1242687	Bình Chánh, Bình Sơn
822945	Ayub Khan
43763	Axit clohidric
447cd9baaa0dea838513db6d1083065d	Biểu đồ thống kê
170692a549870bd1e003b3d7e4494426	2B11 Sani
dbedd91b85754b28c1a9516cc03b8aff	Hang động nghệ thuật thời đồ đá sớm ở Bắc Tây Ban Nha
94759	Asmara
ec4baea984b38a4d4e715905ad447a52	Avianca El Salvador
14bc48be3946bc207c1329b80a101b8a	Chủ nghĩa hợp hiến
282653	Bar-sur-Aube (quận)
1c4160bf98cfc8c3dbf53d77e0a0b3ec	Dion của Syracuse
1407408	Chia cắt Việt Nam
1649b3d923f9b73d4219730429067349	Thể loại:Thành lập thập kỷ 1610
33f0a1fc8e642aee393beb21b953a3a2	Maria Isabelle của Napoli và Sicily
c849a56f685887a7b63bc842df27ef90	Năm thường bắt đầu vào thứ Sáu
e703e18aadf51bc6208b403d7c283327	Lịch sử cơ học cổ điển
2962108	Màu bù
543178	Hội Quốc liên
60719	Maria
506340952c4dce614d87750567a417f0	Bielsko-Biała Voivodeship
142594	Quang Bình
26865aed73b4be987be822b83e7d94ca	Badwater Flat
54914	Barbados
85297cd105c2bd315477c73cc8c7c85e	Basic Books
10154	Lựu pháo
1254125	Vinh An
588a8c03110010941abc1f4603e068fa	Alfredo Kraus
2e3f3ca21403e7ef160b3969f6a2ab88	British Gazette
9645a23d612f65e3c129d6fee1d6256d	Aerospatiale Gazelle
e91b88ac66105e7a58c7a6cb3dfe44f2	Biểu tượng quốc gia của Việt Nam
49697	118 (số)
1a11cef9609d27c88499924755beaecc	Endoclita malabaricus
603e9213cb2853f2f805d7e1bfc04b1c	Main sequence
3195859	Hành
7460622	Bắc Ý
1141032	Deccan
1279668	Thập niên 250 TCN
450954	Giáo hoàng Anastasiô IV
057e259a478785198da84731eef428a4	Chiến tranh giành độc lập lần thứ hai của Ý
3263366	Chủ nghĩa Trotsky
529916	1251
3bcd6fec9ab2470f8c8efc79bc6cbaa3	Altobello Melone
3146382	Miêu tả theo nhánh học
8f0de60b164a9f976cfe4f3a0ce765ba	Al-Murabitun
31d6cc8f544aff49f1f2b7be82193e3b	Quận Israel
191837	Bắc Đẩu Bội tinh
3693725	Sihanoukville (tỉnh)
7c217e009d8c930997c9a8920bc6339b	Thể loại:Thành lập thập kỷ 190 TCN
139433	Franklin Pierce
3338415	Thủ hiến
1253977	Văn Giáo
270113	Costitx
1249910	Kim Đính
b0b5d57446b2cc2d2089dfe07fadac5a	BAKSAL
c70121383328975f8063d73530812d9e	Công ty điện ảnh Quan Thoại
142fde6ca056eaf3d66b14f9756f1949	Current Anthropology
3303581	Thí nghiệm Schiehallion
657eac03bb3097f56a4fd22072332b1d	Adolph von Menzel
9a87a53f24ccc5da50efff0a4620f609	Thể loại:Sinh năm 1828
44142	Mạc Hiển Tích
b3bd4efeb0d851729dc8a7734da00576	Danh sách đỉnh cao nhất theo quốc gia
1316010	Aïn Yagout
c5952e96bab4668ff0fe788cc2c65628	Biện chứng tự nhiên
944da0e1f7390c6fc12e24dca3e3be1f	Thể loại:Phá hủy thập kỷ 1820
222503	Hải Diêm
1683428	Bassariscus
151863	Việt Nam
43250	Đát Kỷ
3443	Thứ Bảy
ec3c6349970533950b581dbdd2de3fa0	2009 swine flu outbreak in the United States
b7c2344ba14677544f2eacea6d929ab8	Dương Thủ Lượng
f83981fc1def48f1ca8b8f191437a25f	Abol Fath Khan
7e7819ee072c5ac709a1e843f1d38890	Avar (biến thiên hoạt họa)
5bd040d7b7c89219b27e9dc720b1d318	Châu Ổ
5b443dd7d4268b1034704a2489e0d9aa	Erik Möller
fdcf642c350e07ececd04b6056db9e3c	Danh sách quốc vương Napoli
1243969	Ea Drăng
1253385	Thuận Thành, Huế
383567	Bùi Thị Cúc
392231	1865
186cd425bf535999ff7197864cabf2e9	Latinh hóa Yale
f1489dc9baa519973e59e39edc1147e6	Archduke Charles của Áo
c3ebb90246da1b39d644f78156a4f133	Lagerstroemia cristata
9bc4aeb408cc2321c9b8c8026c97f248	Thác Shivanasamudra
316531	Dinh hoàng gia ở Aranjuez
fb56ea63acdd68cac39c5b67ab0f030c	Atacama (vùng)
120260	Henryk Sienkiewicz
3215926	Adivasi
111749	Bóng đá tại Đại hội Thể thao Đông Nam Á 1983
01e92a688e7450ec007757adbafffa15	Edward Albert Sharpey-Schafer
80a6a9ef3a7d9597ffb491f1f8d5643e	Dượng
2a9f4371cf5fc146d05244120f19c6d1	California's 19th congressional district
2163184	Baarin (tả kỳ)
9cc5815f431e7dacca890f39d60e2824	Lucius Gellius Publicola
1243292	Cộng Hòa, Nam Sách
95b90d98796fe35426906c3b46ecef12	Bullacta exarata
985e8b446b5b9dce761a4f4d2bd269ff	George Wilhelm Friedrich Hegel
c67c4d07c8b0a43c8c1a143c9973ac89	Old Style and New Style dates
464fdee8dcafaf7c456fb54bf14fa913	Cơ chi trên
1e21c49e847fc0af8dec90091f1de6d1	Khoảng 1428
86442	Chính sách kinh tế
11684335	Antigua và Barbuda tại Thế vận hội
63355	Sơn Đông
4db991d835c950dc5324ba6b755eba49	Camberwell and Peckham (UK Parliament constituency)
a41b7f46526ac1bf3adc4f0091b370ab	APEC Indonesia 1994
3112	WTO
445934	Galileo Galilei
20636	12 tháng 11
e7bac94876a3c7763375e53e246eced0	Đập Mettur
3712742	Sông Tungabhadra
203350	Baghpat
f86624ecf4b847018f2c1bcc79c288ac	Triết học châu Âu lục địa
e3a686842c844e79e6306177bd8cc37a	Danh sách các thành phố tại Đức
3859	Giới hạn Chandrasekhar
e0382667e86d8ea1755316130a8b395c	Côn Đô Lôn
103625	Okinawa
357667	Hứa Tam Tỉnh
3572f446ed05c7a3c10afae06e957bca	Bảo tàng Nghệ thuật Ấn Độ
152a158904bc2bac51bde2e07b293fad	Canh chua lá giang
1752575	Mandolin
769689	Hoàng Anh (định hướng)
131775	Chữ viết
4f36eea4dcc61d5d3d8a180a6a49f841	Danh sách hạt lễ nghi của Anh theo dân số
321633	Điêu khắc
437580	Chế Ma Nô Đà Nan
41166	Nguyễn Thiếp
250b82a9fa92ec6f4431b3c9f531c500	Bacalhau
b840c169ccf59d7bd6eecfe16a6f8d48	Aq Taghlik
104581	Diên Khánh
daca5ebdfefad7e4b46b5cc75abda58e	Danh sách quốc vương của Vương quốc Hai Sicilia
b5c66285f04ff96c0457b4f82c6e9c13	Fuga
7774654	Vận tải công cộng
7d9a9b9341d607bf541861107f0ee498	Phân tích cân bằng bộ phận
3709213	Adrianople
362418	Nhà Hán
83922	Chi Chồn
1519915	Bóng đá tại Thế vận hội Mùa hè
98707	Lào Cai (thành phố)
58d785b706ca79a7239b56253ff39c7e	(310071) 2010 KR59
11860	Luân hồi
cafb74ee143b686852dda041c564aea3	Close central unrounded vowel
9a3281be65e710e15b04526af4f6e80a	Anthony Lane
2360398	Ghi-ta
531345	600
cbcb240150557ebc8855c887211940c2	Context switch
73c1217b31d009ba8f437eb224d31075	Phạm Đăng Lâm
a6b6380e516472d243b5e9d5a782f5c3	Boniface Alexandre
461446	Angoville-sur-Ay
7947efa7b8c5abed71230c36ea19f552	Falcone (ME)
20216	15 tháng 3
529001	1615
103089	Nam Hà
2222588	Friedrich Wöhler
3426181	Bóng bầu dục bảy người tại Thế vận hội Mùa hè 2016
febf5c1ca6e49373e9b5e85e18f6271d	Bach-Fest
ba17b73526c71586d5046e3adb5d7e39	Deane Montgomery
c0509a200c67d9658182197e1cb4aced	Chiến tụng Tây Hồ phú
2477	2004
8bc2ef9f76252562d991026b932af5a9	Biên độ vật chủ
39578	Armenia
3259575	Harlem
17c2daeb7cc723344ada8d089491abfd	Bảng Gibraltar
455578	Giáo hoàng Grêgôriô XIII
ab701f6038c47f73c2eacb586f75fc58	Doanh nghiệp trách nhiệm hữu hạn
525397	HF
214074	Chung Lâu
808953	Modi'in-Maccabim-Re'ut
66304	Lẩu
f462bdef50d4a26f2cae372c747326a8	Hoành Châu
918b4e3fbfdb2540db1b9e6c32f14de2	Thể loại:Thành lập thập kỷ 1310
448901d30c44e66b2b20748585fcb878	Cách mạng lần thứ 2
1250391	Lùng Cải
291469	Công an
18898	17 tháng 11
c17a34e920a5e042d788ea16919516a2	Thể loại:Phá hủy thập kỷ 130 TCN
18406	Hán-Việt
16b31298c9dc8e6e22ad617c8eab515f	Quốc ca Các Tiểu vương quốc Ả Rập Thống nhất
357342	Binh biến Đô Lương
3696933	Nam (quận)
2614	Năng lượng
1220867	Nguyễn Văn Nhạc
f940047891433c22deeb17793d3792af	Eucalyptus terticornis
3211397	Ellac
f867aa1adcad73b1e151b076e5e94121	Muối khoáng
782439	Plutarch
116045	Chiến tranh 6 ngày
3361e51e51267383282d1e32e6c504d2	Ameen Rihani
43061	Bài hát
d189c9fb9b4cb6ecf5410b2fe7a5ad15	Eckhard Lammert
241811	Córdoba, Argentina
3670275	Giờ mùa Hè Đông Âu
12388897	Châu thổ sông Nile
bb8e4c356cd339a28a4fafe897279576	Thể loại:Kiến trúc thập kỷ 190 TCN
324306	Eumenes xứ Cardia
5456	Leonhard Euler
272443	Bailén
499892	Quận Berks, Pennsylvania
176d1a9bb4e4b4298cc8732525e94760	Isla Perejil
808926	Ramat Gan
1466463	Biển Salton
45df2fe431a0be810e7774d329cf6e92	Gonzalo Fernández de Córdoba
a8a9eade2ae7b565fece23d7b45ee431	María Eugenia Vidal
931b4e02774b2360f86bfc2ede484944	Danh sách giả hạt
2105715	Cinnamomum appelianum
a1d33e4819ce89ef614ccc52e31952f0	Phiên âm
529970	1301
374388	Lục bát
f2133ac0a6c11fcf82f60360eb7dfdb8	The Battery (Charleston)
90853cb0b270d662f10a50f5b0b70a21	Bom hạt nhân B46
19345	Thể loại:Sinh thế kỷ 18
0266b6e2f0b96cb99fb90545aa4801d8	Annu. Rev. Genet.
582519	Xiêng Khoảng
173379	Amenhotep IV
d40da24af46959d3c111e4a0d49bc9ae	Khối lượng trên một đơn vị thể tích
5f637f6d81663e1412d73a77de3970aa	Chủ nghĩa lập thể
262337	Embraer EMB 110 Bandeirante
83410	Montbéliard
1583706	Hoàng Thúc Trâm
bfd0a9466cb894dfd9b88d9c738f58a4	Thể loại:Phá hủy thập kỷ 0
2c42cd6e4e02cee615caafa7ec56e57f	Xung đột vũ trang
37dd2d4437d06e9aaba14cfcb946334c	Gesamtkunstwerk
1f9b01f3e94dfece053e8449d4871ef8	Aldwych
01e5a90871192553b5ea4d09ff11821a	Broadway theater
49298	Dương Quảng Hàm
529392	1662
c1390d9ba6b2fb2dfe4f20bdf65d3a77	Các vấn đề trong kịch (Shakespeare)
109885	Chu San
173485	Thông Hải
39550	Thái Bình Thiên Quốc
548789	Lê quý dật sử
1265551	Sách Châm Ngôn
13651	Vành đai Kuiper
11ef9ca8b633a5c3d825f263f15c5518	Handan Sultan
145943	Robert E. Lee
5d77ede0067560cead812b578d56d381	Công chúa Marie của Hohenzollern-Sigmaringen
f38a12cb273f646b7ac7577c0191d62f	Tác phẩm
d1f3b3cc3f9bfa0bc1c0493f5ac3e8cb	Grammy Award for Best Cast Show Album
3359875	Le Temps
107889	1918
6322	Hồ Quý Ly
87506	Thế giới thứ ba
529168	1535
53239607bec6528c0bc396430448aef3	Các cuộc chiến tranh của ba Vương quốc
60090	Ernest Rutherford
6ae042c21c78e2b22982579725420b5a	Maryville
279de1718d42f09636aa5dbe839265d9	Taba, Ai Cập
186178	Giang Hạ
308318	Brendan Fraser
6c04e729711c0458042b59fbcddc3c9e	Andes ướt
47457	Giáo sư
95816de6f7f73c2bd6b74b30cc121fc4	Bác Mục Bác Quả Nhĩ
1310996	Hồ Nam TV
0e89c1f0876883b0aa683ddeac272441	Bàn tính La Mã
1546231	Chuông Quy Điền
125397	Daejeon
ff67af56363e1b36da8ebfb09e57cccc	Abd al-Rahman Yusufi
b6a7ca9494772a6918758bf88ac3069f	Charles, Quận công xứ Cumberland
a135aacf410a9e240423fb103edfc5f9	Bùi Tú
a187722030e107f233dc723271912b47	Glauconit
41d6b42344f02246eb9304d3b1b55c95	A Short Happy Life
643bb93202ab20591a589fc16547ecff	Thuyết sức căng tới hạn
a4cf5e63cc6ac0acf0135d7ad72c516c	Cảng nguyên liệu
3cd5fe20a0c7637bcbaa5e88fcdb67c4	Charles-Théodore Millot
461371	Audouville-la-Hubert
4d5c7ea94172fbed9b61485cda5e7593	Danh sách các chính đảng ở Đức
570654	Ruột
490777	Bibimbap
3501136	Jusepe de Ribera
30638119e02d50969737216e9c2e06e3	Hoàng Tanh
529649	1326
cea91e381cef2e482ea09c82b14bb129	Chính trị New Jersey
3218453	Hiệp hội Bản đồ Quốc tế
3ff74b1eb99b6cd4950a4db867306a0a	Hỏa khí
605337	Danh sách tiểu hành tinh
b361cdb48a0fb390d48110cd6ac4cd56	Huy hiệu của Bonaire
813567103d4dc841dc8022fb933fa226	Anốt
134480	Aeneas
2af813cd75d2e0dfbf552bf21ede38a7	Anne Catherine Emmerich
5704eabd08d2a2ef7417035ae40622d0	East Hertfordshire
e6f6fa02b921b809eb306bbf57b78c88	Dear Life (sách)
3d5df40b4d7dd3cb18540deb15c40daa	Biến đổi bức xạ mây
63096e84897868d4d2c84009096589b3	Arabinoza
3063b263dd6c76d26c194f388295e83e	Shivanasamudra
22ea45d20413f75cd7ccfc92f8580456	Lâu đài Schwerin
877cc5fbf2ada4973504e831ab6220eb	Hiếu Nghị Tương Hoàng hậu
a72ec9c8e41b0dcd5b470268ce40202a	DEP
883798acbe3074e49b09668f4166cfeb	B PFG
674a90a2cebdb0089fe92ce49c043999	Hoàng Kim Trảo
800742	Bộ Ngoại giao Cộng hòa Nhân dân Trung Hoa
402067	Centavo
3224990	Quang năng
69112	Jongmyo
f3808077edbd826681833e35e01d3421	Lâm Duy Thiếp
3512353	Flemish Brabant
142455	Arthur Wellesley (định hướng)
271b6cb96491b051a1aff587b13be959	Siêu trơn
9bb5854ed2ee8307f59a1736438041dc	Cơ sở Mới
2404345	Cinna
235114	Chùa Diệu Đế
2746560358c8159bcedbef39c3c166ec	George Crook
864129	Báo Ấn Độ
3392382	Copa Libertadores Femenina
6404	Danh sách người đoạt giải Nobel Vật lý
392245	1874
1406140	Quần đảo Eo Biển
38335	Chad
5ca299421c71a8222533585ca33be2a9	Công nghiệp cơ khí
3665999	Châu Đốc (thành phố)
71abe385f44d5423dafc94545b3dbc27	Cap and Share
8e3c5cda77b2f2cec195c4e256368d6a	Limburg (Weilheim an der Teck)
c773dfa0f9818fe252ae2c9cd01d20f2	Jinmeiyō kanji
696bcaf129cacf32c3ccd9983b32b184	Dãy núi Tehachapi
cd285bdb2e417f51ad0ca0d1c6f5afde	Chính tả học
e227d9b3ccc0abd488eb0dce69074d9d	Aragua (state)
575797	Dayton, Ohio
1752953	Axít sunfuric
4a6cb0fc36cc420424ce7d3e28e6fda6	Cảng Nghệ An
5b8f185eef199356276e208c7675b8e1	Thiên quan
490942	Mã INSEE
46814	Kinh Xuân Thu
3693496	Ban Chỉ đạo cải cách Tư pháp Trung ương Đảng Cộng sản Việt Nam
a52c1c9eae9e4847817be0571fbf3c04	Garshuni
cf489aed737cc900e768200e424824db	Henri Gillain
